Date,Season,Opp,Type,Rslt,Tm,Opp_score,eFG%,TOV%,DRB%,FT%,Opp_eFG%,Opp_TOV%,Opp_DRB%,Opp_FT%,Source_File
2024-02-17,2023-2024,Fordham,REG (Conf),W,78.0,70.0,0.649,6.0,23.0,0.68,0.491,10.0,20.0,0.867,dayton.csv
2024-02-21,2023-2024,George Mason,REG (Conf),L,67.0,71.0,0.509,6.0,13.0,0.714,0.534,11.0,20.0,0.828,dayton.csv
2024-02-27,2023-2024,Davidson,REG (Conf),W,80.0,66.0,0.648,13.0,29.0,0.833,0.448,7.0,20.0,0.875,dayton.csv
2024-03-01,2023-2024,Loyola Chicago,REG (Conf),L,72.0,77.0,0.598,20.0,25.0,0.85,0.534,11.0,20.0,0.737,dayton.csv
2024-03-05,2023-2024,Saint Louis,REG (Conf),W,100.0,83.0,0.692,11.0,25.0,0.714,0.557,6.0,13.0,0.938,dayton.csv
2024-03-08,2023-2024,VCU,REG (Conf),W,91.0,86.0,0.643,14.0,30.0,0.76,0.577,11.0,20.0,0.667,dayton.csv
2024-03-14,2023-2024,Duquesne,CTOURN,L,57.0,65.0,0.39,7.0,19.0,0.72,0.482,11.0,31.0,0.769,dayton.csv
2024-03-21,2023-2024,Nevada,ROUND-64,W,63.0,60.0,0.543,12.0,25.0,0.867,0.491,12.0,20.0,0.5,dayton.csv
2024-03-23,2023-2024,Arizona,ROUND-32,L,68.0,78.0,0.466,14.0,19.0,0.867,0.604,14.0,26.0,0.7,dayton.csv
2024-11-04,2024-2025,Saint Francis (PA),REG (Non-Conf),W,87.0,57.0,0.515,7.0,29.0,0.68,0.431,12.0,24.0,0.636,dayton.csv
2024-11-09,2024-2025,Northwestern,REG (Non-Conf),W,71.0,66.0,0.609,14.0,22.0,0.6,0.491,15.0,22.0,0.846,dayton.csv
2024-11-13,2024-2025,Ball State,REG (Non-Conf),W,77.0,69.0,0.528,8.0,27.0,0.724,0.462,14.0,24.0,0.875,dayton.csv
2024-11-16,2024-2025,,REG (Non-Conf),W,76.0,55.0,0.593,12.0,30.0,0.5,0.406,10.0,20.0,0.5,dayton.csv
2024-11-20,2024-2025,New Mexico State,REG (Non-Conf),W,74.0,53.0,0.552,7.0,26.0,0.556,0.409,8.0,19.0,0.571,dayton.csv
2024-11-25,2024-2025,North Carolina,REG (Non-Conf),L,90.0,92.0,0.527,9.0,21.0,0.8,0.602,15.0,28.0,0.794,dayton.csv
2024-11-26,2024-2025,Iowa State,REG (Non-Conf),L,84.0,89.0,0.65,11.0,19.0,0.731,0.552,6.0,15.0,0.862,dayton.csv
2024-11-28,2024-2025,Connecticut,REG (Non-Conf),W,85.0,67.0,0.58,10.0,28.0,0.9,0.484,5.0,17.0,0.636,dayton.csv
2024-12-03,2024-2025,Western Michigan,REG (Non-Conf),W,77.0,69.0,0.615,9.0,15.0,0.818,0.583,11.0,13.0,0.857,dayton.csv
2024-12-07,2024-2025,Lehigh,REG (Non-Conf),W,86.0,62.0,0.714,4.0,32.0,0.696,0.452,4.0,23.0,0.545,dayton.csv
2024-12-14,2024-2025,Marquette,REG (Non-Conf),W,71.0,63.0,0.508,7.0,22.0,0.563,0.491,13.0,19.0,0.667,dayton.csv
2024-12-17,2024-2025,UNLV,REG (Non-Conf),W,66.0,65.0,0.52,8.0,23.0,0.813,0.491,6.0,22.0,0.813,dayton.csv
2024-12-20,2024-2025,Cincinnati,REG (Non-Conf),L,59.0,66.0,0.441,17.0,19.0,0.933,0.431,10.0,21.0,0.762,dayton.csv
2024-12-31,2024-2025,La Salle,REG (Conf),W,84.0,70.0,0.531,11.0,29.0,0.714,0.467,16.0,26.0,0.684,dayton.csv
2025-01-04,2024-2025,George Washington,REG (Conf),L,62.0,82.0,0.383,11.0,25.0,0.8,0.582,10.0,23.0,0.733,dayton.csv
2025-01-08,2024-2025,Massachusetts,REG (Conf),L,72.0,76.0,0.44,10.0,17.0,0.737,0.475,11.0,24.0,0.95,dayton.csv
2025-01-15,2024-2025,George Mason,REG (Conf),L,59.0,67.0,0.52,11.0,12.0,0.545,0.635,12.0,21.0,0.857,dayton.csv
2025-01-18,2024-2025,Loyola Chicago,REG (Conf),W,83.0,81.0,0.544,12.0,22.0,0.778,0.621,19.0,22.0,0.643,dayton.csv
2025-01-21,2024-2025,Duquesne,REG (Conf),W,82.0,62.0,0.7,16.0,21.0,0.556,0.531,15.0,15.0,0.526,dayton.csv
2025-01-24,2024-2025,Saint Joseph's,REG (Conf),W,77.0,72.0,0.564,7.0,25.0,0.833,0.492,9.0,24.0,0.846,dayton.csv
2025-01-28,2024-2025,St. Bonaventure,REG (Conf),L,53.0,75.0,0.481,5.0,21.0,0.429,0.623,6.0,28.0,0.75,dayton.csv
2025-01-31,2024-2025,Saint Louis,REG (Conf),W,71.0,63.0,0.509,11.0,20.0,0.75,0.571,19.0,23.0,0.636,dayton.csv
2025-02-04,2024-2025,Davidson,REG (Conf),W,69.0,63.0,0.429,9.0,23.0,0.875,0.482,9.0,24.0,0.909,dayton.csv
2025-02-07,2024-2025,VCU,REG (Conf),L,68.0,73.0,0.441,17.0,20.0,0.92,0.406,14.0,20.0,0.895,dayton.csv
2025-02-12,2024-2025,Fordham,REG (Conf),W,93.0,76.0,0.639,6.0,15.0,0.774,0.575,14.0,16.0,0.75,dayton.csv
2025-02-15,2024-2025,Duquesne,REG (Conf),W,77.0,76.0,0.541,10.0,19.0,0.727,0.574,14.0,16.0,0.636,dayton.csv
2025-02-21,2024-2025,Loyola Chicago,REG (Conf),L,72.0,76.0,0.435,8.0,23.0,0.783,0.546,9.0,22.0,0.63,dayton.csv
2025-02-26,2024-2025,Rhode Island,REG (Conf),W,85.0,77.0,0.582,15.0,21.0,0.913,0.509,18.0,22.0,0.7,dayton.csv
2025-03-01,2024-2025,Richmond,REG (Conf),W,74.0,64.0,0.425,14.0,33.0,0.697,0.414,8.0,30.0,0.733,dayton.csv
2025-03-04,2024-2025,Saint Louis,REG (Conf),W,75.0,67.0,0.525,10.0,30.0,0.786,0.516,9.0,21.0,1.0,dayton.csv
2025-03-07,2024-2025,VCU,REG (Conf),W,79.0,76.0,0.542,8.0,17.0,0.875,0.418,7.0,20.0,0.806,dayton.csv
2025-03-14,2024-2025,Saint Joseph's,CTOURN,L,68.0,73.0,0.43,9.0,33.0,0.636,0.421,8.0,33.0,0.714,dayton.csv
2025-03-19,2024-2025,Florida Atlantic,NIT,W,86.0,79.0,0.652,10.0,18.0,0.65,0.591,13.0,20.0,0.667,dayton.csv
2025-03-22,2024-2025,Chattanooga,NIT,L,72.0,87.0,0.525,8.0,16.0,0.714,0.673,7.0,24.0,0.84,dayton.csv
2023-11-06,2023-2024,Toledo,REG (Non-Conf),L,60.0,94.0,0.596,23.0,22.0,0.4,0.607,9.0,21.0,0.8,detroit-mercy.csv
2023-11-10,2023-2024,Cincinnati,REG (Non-Conf),L,61.0,93.0,0.455,14.0,21.0,0.588,0.606,13.0,32.0,0.467,detroit-mercy.csv
2023-11-14,2023-2024,Ole Miss,REG (Non-Conf),L,69.0,70.0,0.538,11.0,23.0,0.722,0.524,8.0,17.0,0.833,detroit-mercy.csv
2023-11-18,2023-2024,Ohio,REG (Non-Conf),L,52.0,71.0,0.349,14.0,27.0,0.8,0.476,9.0,28.0,0.917,detroit-mercy.csv
2023-11-21,2023-2024,Eastern Michigan,REG (Non-Conf),L,72.0,76.0,0.6,8.0,13.0,0.857,0.716,13.0,16.0,0.929,detroit-mercy.csv
2023-11-25,2023-2024,SIU Edwardsville,REG (Non-Conf),L,67.0,81.0,0.5,9.0,17.0,0.647,0.635,7.0,17.0,0.789,detroit-mercy.csv
2023-11-29,2023-2024,Oakland,REG (Conf),L,50.0,65.0,0.4,17.0,21.0,0.667,0.474,14.0,25.0,0.733,detroit-mercy.csv
2023-12-02,2023-2024,Cleveland State,REG (Conf),L,58.0,69.0,0.5,13.0,25.0,0.429,0.395,7.0,26.0,0.75,detroit-mercy.csv
2023-12-06,2023-2024,Ball State,REG (Non-Conf),L,65.0,68.0,0.402,8.0,17.0,0.75,0.5,21.0,30.0,0.828,detroit-mercy.csv
2023-12-10,2023-2024,Northwestern,REG (Non-Conf),L,59.0,91.0,0.395,13.0,20.0,0.7,0.639,6.0,26.0,0.65,detroit-mercy.csv
2023-12-18,2023-2024,Loyola Marymount,REG (Non-Conf),L,56.0,76.0,0.325,11.0,15.0,0.773,0.56,16.0,33.0,0.846,detroit-mercy.csv
2023-12-21,2023-2024,Central Michigan,REG (Non-Conf),L,63.0,75.0,0.358,12.0,22.0,0.769,0.552,15.0,28.0,0.733,detroit-mercy.csv
2023-12-23,2023-2024,NC State,REG (Non-Conf),L,66.0,83.0,0.475,16.0,29.0,0.769,0.57,7.0,24.0,0.526,detroit-mercy.csv
2023-12-29,2023-2024,IUPUI,REG (Conf),L,55.0,67.0,0.415,13.0,19.0,0.688,0.473,7.0,24.0,0.737,detroit-mercy.csv
2023-12-31,2023-2024,Purdue Fort Wayne,REG (Conf),L,56.0,91.0,0.391,21.0,27.0,0.565,0.543,7.0,25.0,0.652,detroit-mercy.csv
2024-01-04,2023-2024,Green Bay,REG (Conf),L,51.0,69.0,0.382,7.0,16.0,0.9,0.582,14.0,27.0,0.625,detroit-mercy.csv
2024-01-06,2023-2024,Milwaukee,REG (Conf),L,61.0,84.0,0.375,13.0,16.0,0.714,0.492,18.0,31.0,0.857,detroit-mercy.csv
2024-01-13,2023-2024,Northern Kentucky,REG (Conf),L,76.0,81.0,0.531,11.0,15.0,0.962,0.56,11.0,16.0,0.762,detroit-mercy.csv
2024-01-17,2023-2024,Robert Morris,REG (Conf),L,99.0,102.0,0.506,8.0,19.0,0.826,0.5,20.0,28.0,0.9,detroit-mercy.csv
2024-01-20,2023-2024,Youngstown State,REG (Conf),L,64.0,105.0,0.442,14.0,10.0,0.786,0.75,13.0,24.0,1.0,detroit-mercy.csv
2024-01-25,2023-2024,Milwaukee,REG (Conf),L,71.0,87.0,0.457,11.0,17.0,1.0,0.623,16.0,29.0,0.762,detroit-mercy.csv
2024-01-27,2023-2024,Green Bay,REG (Conf),L,64.0,78.0,0.429,11.0,21.0,0.815,0.55,10.0,25.0,0.8,detroit-mercy.csv
2024-02-01,2023-2024,Cleveland State,REG (Conf),L,65.0,77.0,0.51,16.0,18.0,0.667,0.532,9.0,20.0,0.909,detroit-mercy.csv
2024-02-03,2023-2024,Robert Morris,REG (Conf),L,67.0,75.0,0.509,4.0,14.0,0.6,0.492,10.0,23.0,0.778,detroit-mercy.csv
2024-02-08,2023-2024,Wright State,REG (Conf),L,85.0,92.0,0.712,10.0,10.0,0.688,0.651,12.0,18.0,0.885,detroit-mercy.csv
2024-02-10,2023-2024,Northern Kentucky,REG (Conf),L,67.0,79.0,0.517,15.0,24.0,0.667,0.5,13.0,24.0,0.75,detroit-mercy.csv
2024-02-14,2023-2024,IUPUI,REG (Conf),W,81.0,66.0,0.582,14.0,19.0,0.727,0.54,17.0,13.0,0.857,detroit-mercy.csv
2024-02-17,2023-2024,Purdue Fort Wayne,REG (Conf),L,69.0,83.0,0.565,11.0,20.0,0.773,0.636,5.0,20.0,0.667,detroit-mercy.csv
2024-02-22,2023-2024,Wright State,REG (Conf),L,78.0,93.0,0.543,12.0,17.0,0.789,0.625,12.0,20.0,0.75,detroit-mercy.csv
2024-02-28,2023-2024,Youngstown State,REG (Conf),L,55.0,69.0,0.383,9.0,24.0,0.667,0.525,12.0,29.0,0.5,detroit-mercy.csv
2024-03-02,2023-2024,Oakland,REG (Conf),L,70.0,75.0,0.589,10.0,17.0,0.944,0.569,9.0,14.0,0.85,detroit-mercy.csv
2024-03-05,2023-2024,Milwaukee,CTOURN,L,79.0,83.0,0.588,14.0,20.0,0.706,0.55,10.0,23.0,0.85,detroit-mercy.csv
2024-11-04,2024-2025,,REG (Non-Conf),W,91.0,52.0,0.543,9.0,30.0,0.762,0.418,13.0,18.0,0.545,detroit-mercy.csv
2024-11-07,2024-2025,Loyola Chicago,REG (Non-Conf),L,65.0,87.0,0.39,16.0,18.0,0.655,0.559,14.0,20.0,0.778,detroit-mercy.csv
2024-11-10,2024-2025,Niagara,REG (Non-Conf),W,84.0,78.0,0.534,13.0,31.0,0.724,0.523,9.0,22.0,0.647,detroit-mercy.csv
2024-11-16,2024-2025,Toledo,REG (Non-Conf),L,67.0,82.0,0.5,15.0,23.0,0.563,0.492,8.0,22.0,0.75,detroit-mercy.csv
2024-11-20,2024-2025,Ball State,REG (Non-Conf),W,70.0,59.0,0.536,16.0,24.0,0.611,0.443,15.0,21.0,0.667,detroit-mercy.csv
2024-11-23,2024-2025,Wake Forest,REG (Non-Conf),L,57.0,67.0,0.375,14.0,32.0,0.75,0.475,5.0,24.0,0.692,detroit-mercy.csv
2024-11-26,2024-2025,Tulsa,REG (Non-Conf),L,44.0,63.0,0.285,9.0,25.0,0.583,0.465,8.0,33.0,0.556,detroit-mercy.csv
2024-11-27,2024-2025,Rhode Island,REG (Non-Conf),L,75.0,81.0,0.47,8.0,25.0,0.765,0.568,11.0,20.0,0.609,detroit-mercy.csv
2024-11-30,2024-2025,Eastern Michigan,REG (Non-Conf),W,98.0,89.0,0.621,14.0,23.0,0.875,0.568,14.0,23.0,0.815,detroit-mercy.csv
2024-12-05,2024-2025,Purdue Fort Wayne,REG (Conf),W,79.0,78.0,0.575,13.0,21.0,0.769,0.542,8.0,19.0,0.667,detroit-mercy.csv
2024-12-07,2024-2025,Wright State,REG (Conf),L,72.0,80.0,0.455,7.0,17.0,0.688,0.653,14.0,27.0,0.842,detroit-mercy.csv
2024-12-14,2024-2025,Davidson,REG (Non-Conf),L,51.0,86.0,0.367,13.0,17.0,0.583,0.615,13.0,31.0,0.786,detroit-mercy.csv
2024-12-18,2024-2025,Northern Kentucky,REG (Conf),L,60.0,73.0,0.481,16.0,24.0,0.727,0.544,11.0,22.0,0.44,detroit-mercy.csv
2024-12-22,2024-2025,Wisconsin,REG (Non-Conf),L,53.0,76.0,0.364,8.0,22.0,0.833,0.461,9.0,33.0,0.895,detroit-mercy.csv
2024-12-29,2024-2025,Youngstown State,REG (Conf),L,64.0,73.0,0.328,16.0,29.0,0.733,0.442,15.0,28.0,0.625,detroit-mercy.csv
2025-01-02,2024-2025,Robert Morris,REG (Conf),W,78.0,76.0,0.485,10.0,22.0,0.867,0.394,10.0,23.0,0.8,detroit-mercy.csv
2025-01-04,2024-2025,Milwaukee,REG (Conf),L,56.0,64.0,0.417,17.0,25.0,0.846,0.331,14.0,22.0,0.778,detroit-mercy.csv
2025-01-09,2024-2025,IU Indy,REG (Conf),L,61.0,95.0,0.469,14.0,23.0,0.727,0.591,7.0,17.0,0.739,detroit-mercy.csv
2025-01-11,2024-2025,Purdue Fort Wayne,REG (Conf),L,67.0,90.0,0.48,12.0,20.0,0.783,0.661,9.0,20.0,0.8,detroit-mercy.csv
2025-01-18,2024-2025,Oakland,REG (Conf),L,59.0,65.0,0.438,12.0,16.0,0.667,0.528,13.0,21.0,0.5,detroit-mercy.csv
2025-01-22,2024-2025,Cleveland State,REG (Conf),L,50.0,65.0,0.423,13.0,24.0,0.667,0.433,8.0,21.0,0.591,detroit-mercy.csv
2025-01-25,2024-2025,Wright State,REG (Conf),L,50.0,67.0,0.315,2.0,29.0,0.818,0.444,7.0,32.0,0.6,detroit-mercy.csv
2025-01-30,2024-2025,Northern Kentucky,REG (Conf),W,68.0,57.0,0.481,13.0,34.0,0.895,0.333,9.0,20.0,0.789,detroit-mercy.csv
2025-02-01,2024-2025,Green Bay,REG (Conf),W,67.0,57.0,0.474,6.0,29.0,0.929,0.445,11.0,25.0,0.667,detroit-mercy.csv
2025-02-05,2024-2025,Robert Morris,REG (Conf),L,56.0,71.0,0.433,18.0,19.0,0.688,0.602,12.0,16.0,0.75,detroit-mercy.csv
2025-02-08,2024-2025,Youngstown State,REG (Conf),L,72.0,87.0,0.5,13.0,21.0,0.789,0.603,8.0,16.0,0.85,detroit-mercy.csv
2025-02-16,2024-2025,Oakland,REG (Conf),L,83.0,93.0,0.514,14.0,27.0,0.846,0.509,8.0,24.0,0.75,detroit-mercy.csv
2025-02-19,2024-2025,IU Indy,REG (Conf),L,71.0,80.0,0.454,10.0,24.0,0.75,0.583,8.0,24.0,0.773,detroit-mercy.csv
2025-02-21,2024-2025,Cleveland State,REG (Conf),L,65.0,73.0,0.471,14.0,24.0,0.727,0.482,10.0,19.0,0.783,detroit-mercy.csv
2025-02-27,2024-2025,Green Bay,REG (Conf),L,71.0,76.0,0.492,10.0,28.0,0.5,0.434,5.0,23.0,0.769,detroit-mercy.csv
2025-03-01,2024-2025,Milwaukee,REG (Conf),L,67.0,89.0,0.548,20.0,18.0,0.667,0.587,7.0,18.0,0.652,detroit-mercy.csv
2025-03-04,2024-2025,Northern Kentucky,CTOURN,L,75.0,99.0,0.509,14.0,17.0,0.708,0.621,8.0,20.0,0.846,detroit-mercy.csv
2023-11-06,2023-2024,Cleveland State,REG (Non-Conf),W,79.0,77.0,0.492,11.0,26.0,0.545,0.508,12.0,25.0,0.632,duquesne.csv
2023-11-10,2023-2024,College of Charleston,REG (Non-Conf),W,90.0,72.0,0.575,13.0,25.0,1.0,0.457,16.0,24.0,0.633,duquesne.csv
2023-11-13,2023-2024,Stony Brook,REG (Non-Conf),W,85.0,63.0,0.602,12.0,29.0,0.727,0.424,9.0,17.0,0.583,duquesne.csv
2023-11-15,2023-2024,Princeton,REG (Non-Conf),L,67.0,70.0,0.5,13.0,16.0,0.824,0.61,12.0,19.0,0.9,duquesne.csv
2023-11-17,2023-2024,Rider,REG (Non-Conf),W,77.0,58.0,0.561,11.0,31.0,0.619,0.348,10.0,24.0,0.545,duquesne.csv
2023-11-22,2023-2024,Nebraska,REG (Non-Conf),L,79.0,89.0,0.508,6.0,23.0,0.882,0.575,2.0,20.0,0.903,duquesne.csv
2023-11-29,2023-2024,UC Irvine,REG (Non-Conf),W,66.0,62.0,0.491,11.0,18.0,0.6,0.472,19.0,27.0,1.0,duquesne.csv
2023-12-06,2023-2024,Marshall,REG (Non-Conf),W,85.0,72.0,0.509,14.0,29.0,0.732,0.4,12.0,26.0,0.667,duquesne.csv
2023-12-08,2023-2024,Saint Peter's,REG (Non-Conf),W,68.0,59.0,0.451,9.0,23.0,0.786,0.5,13.0,18.0,0.643,duquesne.csv
2023-12-18,2023-2024,Bradley,REG (Non-Conf),W,69.0,67.0,0.466,9.0,14.0,0.7,0.556,16.0,21.0,0.583,duquesne.csv
2023-12-23,2023-2024,Santa Clara,REG (Non-Conf),L,73.0,81.0,0.5,12.0,18.0,0.613,0.566,12.0,20.0,0.724,duquesne.csv
2023-12-30,2023-2024,Cleary,REG (Non-Conf),W,95.0,47.0,0.58,15.0,28.0,0.833,0.412,20.0,16.0,0.556,duquesne.csv
2024-01-03,2023-2024,Massachusetts,REG (Conf),L,61.0,80.0,0.414,14.0,18.0,0.591,0.549,12.0,26.0,0.706,duquesne.csv
2024-01-06,2023-2024,Loyola Chicago,REG (Conf),L,67.0,72.0,0.439,17.0,27.0,0.692,0.537,21.0,27.0,0.667,duquesne.csv
2024-01-12,2023-2024,Dayton,REG (Conf),L,62.0,72.0,0.468,13.0,16.0,0.8,0.538,15.0,24.0,0.789,duquesne.csv
2024-01-16,2023-2024,Richmond,REG (Conf),L,61.0,63.0,0.474,9.0,21.0,0.636,0.53,10.0,24.0,0.714,duquesne.csv
2024-01-20,2023-2024,Saint Joseph's,REG (Conf),L,69.0,71.0,0.491,11.0,23.0,0.857,0.536,10.0,23.0,0.632,duquesne.csv
2024-01-23,2023-2024,St. Bonaventure,REG (Conf),W,54.0,50.0,0.378,13.0,26.0,0.567,0.288,16.0,23.0,0.667,duquesne.csv
2024-01-27,2023-2024,Fordham,REG (Conf),W,68.0,59.0,0.48,8.0,25.0,0.633,0.404,12.0,26.0,0.542,duquesne.csv
2024-01-31,2023-2024,Chicago State,REG (Non-Conf),W,65.0,60.0,0.395,10.0,21.0,0.64,0.472,17.0,24.0,0.563,duquesne.csv
2024-02-03,2023-2024,Rhode Island,REG (Conf),W,85.0,71.0,0.66,13.0,23.0,0.882,0.491,10.0,16.0,0.7,duquesne.csv
2024-02-07,2023-2024,Davidson,REG (Conf),L,59.0,72.0,0.452,9.0,21.0,0.6,0.509,8.0,27.0,0.9,duquesne.csv
2024-02-10,2023-2024,St. Bonaventure,REG (Conf),W,75.0,69.0,0.508,8.0,26.0,0.714,0.445,9.0,27.0,0.769,duquesne.csv
2024-02-13,2023-2024,Dayton,REG (Conf),L,59.0,75.0,0.558,11.0,22.0,0.333,0.536,4.0,22.0,0.696,duquesne.csv
2024-02-17,2023-2024,Saint Joseph's,REG (Conf),W,66.0,56.0,0.529,16.0,27.0,0.846,0.402,12.0,22.0,0.647,duquesne.csv
2024-02-20,2023-2024,Saint Louis,REG (Conf),W,81.0,66.0,0.591,15.0,27.0,0.842,0.474,12.0,22.0,0.733,duquesne.csv
2024-02-23,2023-2024,Fordham,REG (Conf),L,67.0,79.0,0.4,11.0,16.0,0.852,0.596,16.0,27.0,0.708,duquesne.csv
2024-02-28,2023-2024,La Salle,REG (Conf),W,75.0,63.0,0.558,9.0,20.0,0.571,0.459,12.0,18.0,0.778,duquesne.csv
2024-03-02,2023-2024,George Mason,REG (Conf),W,59.0,51.0,0.526,18.0,23.0,0.818,0.417,15.0,16.0,0.579,duquesne.csv
2024-03-05,2023-2024,VCU,REG (Conf),W,69.0,59.0,0.509,10.0,21.0,0.917,0.51,14.0,22.0,0.643,duquesne.csv
2024-03-09,2023-2024,George Washington,REG (Conf),W,67.0,65.0,0.491,11.0,24.0,1.0,0.518,12.0,20.0,0.889,duquesne.csv
2024-03-13,2023-2024,Saint Louis,CTOURN,W,83.0,73.0,0.59,5.0,22.0,0.55,0.556,13.0,24.0,0.767,duquesne.csv
2024-03-14,2023-2024,Dayton,CTOURN,W,65.0,57.0,0.482,11.0,31.0,0.769,0.39,7.0,19.0,0.72,duquesne.csv
2024-03-16,2023-2024,St. Bonaventure,CTOURN,W,70.0,60.0,0.604,10.0,24.0,0.857,0.456,9.0,21.0,0.727,duquesne.csv
2024-03-17,2023-2024,VCU,CTOURN,W,57.0,51.0,0.368,10.0,21.0,0.714,0.415,15.0,24.0,0.857,duquesne.csv
2024-03-21,2023-2024,Brigham Young,ROUND-64,W,71.0,67.0,0.527,9.0,22.0,0.75,0.456,11.0,24.0,0.882,duquesne.csv
2024-03-23,2023-2024,Illinois,ROUND-32,L,63.0,89.0,0.451,9.0,13.0,0.8,0.653,7.0,21.0,0.706,duquesne.csv
2024-11-04,2024-2025,Lipscomb,REG (Non-Conf),L,72.0,77.0,0.5,14.0,24.0,0.526,0.615,16.0,28.0,0.692,duquesne.csv
2024-11-08,2024-2025,Princeton,REG (Non-Conf),L,68.0,75.0,0.483,11.0,29.0,0.632,0.538,10.0,23.0,0.621,duquesne.csv
2024-11-15,2024-2025,DePaul,REG (Non-Conf),L,58.0,84.0,0.397,7.0,16.0,0.6,0.657,10.0,29.0,0.765,duquesne.csv
2024-11-19,2024-2025,Milwaukee,REG (Non-Conf),L,74.0,80.0,0.492,11.0,19.0,0.652,0.587,12.0,27.0,0.633,duquesne.csv
2024-11-24,2024-2025,South Dakota State,REG (Non-Conf),L,60.0,71.0,0.451,9.0,17.0,0.455,0.592,14.0,27.0,0.722,duquesne.csv
2024-11-25,2024-2025,Hampton,REG (Non-Conf),L,59.0,64.0,0.489,16.0,21.0,0.517,0.442,14.0,17.0,0.818,duquesne.csv
2024-11-26,2024-2025,Old Dominion,REG (Non-Conf),W,67.0,54.0,0.509,19.0,29.0,0.722,0.344,16.0,19.0,0.667,duquesne.csv
2024-12-03,2024-2025,Saint Peter's,REG (Non-Conf),L,59.0,62.0,0.433,9.0,21.0,0.636,0.398,8.0,24.0,0.789,duquesne.csv
2024-12-06,2024-2025,Delaware,REG (Non-Conf),W,80.0,66.0,0.468,9.0,25.0,0.786,0.457,11.0,19.0,0.722,duquesne.csv
2024-12-11,2024-2025,Maine,REG (Non-Conf),L,56.0,61.0,0.44,18.0,19.0,0.455,0.5,14.0,16.0,0.813,duquesne.csv
2024-12-14,2024-2025,Towson,REG (Non-Conf),W,65.0,47.0,0.552,10.0,22.0,0.8,0.33,6.0,13.0,0.857,duquesne.csv
2024-12-21,2024-2025,UC Irvine,REG (Non-Conf),W,70.0,54.0,0.618,9.0,25.0,0.5,0.377,12.0,22.0,0.667,duquesne.csv
2024-12-27,2024-2025,,REG (Non-Conf),W,93.0,45.0,0.669,12.0,23.0,0.909,0.38,19.0,12.0,0.833,duquesne.csv
2024-12-31,2024-2025,Rhode Island,REG (Conf),W,67.0,55.0,0.482,10.0,26.0,0.522,0.413,9.0,25.0,0.654,duquesne.csv
2025-01-04,2024-2025,Davidson,REG (Conf),L,71.0,77.0,0.516,7.0,22.0,0.6,0.598,7.0,23.0,0.762,duquesne.csv
2025-01-08,2024-2025,Saint Joseph's,REG (Conf),W,85.0,81.0,0.514,8.0,23.0,0.857,0.551,13.0,26.0,0.64,duquesne.csv
2025-01-15,2024-2025,George Washington,REG (Conf),W,73.0,65.0,0.508,17.0,20.0,0.813,0.422,12.0,17.0,0.615,duquesne.csv
2025-01-18,2024-2025,St. Bonaventure,REG (Conf),W,75.0,57.0,0.583,3.0,24.0,0.714,0.406,9.0,23.0,0.636,duquesne.csv
2025-01-21,2024-2025,Dayton,REG (Conf),L,62.0,82.0,0.531,15.0,15.0,0.526,0.7,16.0,21.0,0.556,duquesne.csv
2025-01-26,2024-2025,Fordham,REG (Conf),L,63.0,65.0,0.491,12.0,17.0,0.571,0.441,15.0,24.0,0.833,duquesne.csv
2025-01-29,2024-2025,Saint Joseph's,REG (Conf),L,72.0,76.0,0.477,9.0,18.0,0.692,0.5,16.0,23.0,0.829,duquesne.csv
2025-02-01,2024-2025,Massachusetts,REG (Conf),L,53.0,62.0,0.35,11.0,20.0,0.5,0.457,14.0,32.0,0.474,duquesne.csv
2025-02-05,2024-2025,Richmond,REG (Conf),L,68.0,73.0,0.5,10.0,9.0,0.583,0.707,14.0,19.0,0.833,duquesne.csv
2025-02-08,2024-2025,Loyola Chicago,REG (Conf),W,69.0,56.0,0.485,9.0,22.0,0.6,0.443,15.0,24.0,0.75,duquesne.csv
2025-02-15,2024-2025,Dayton,REG (Conf),L,76.0,77.0,0.574,14.0,16.0,0.636,0.541,10.0,19.0,0.727,duquesne.csv
2025-02-19,2024-2025,Fordham,REG (Conf),W,73.0,64.0,0.464,11.0,19.0,0.808,0.464,16.0,22.0,0.667,duquesne.csv
2025-02-22,2024-2025,St. Bonaventure,REG (Conf),L,63.0,70.0,0.445,10.0,25.0,0.7,0.583,7.0,21.0,0.667,duquesne.csv
2025-02-26,2024-2025,La Salle,REG (Conf),W,67.0,62.0,0.576,12.0,26.0,0.737,0.368,10.0,19.0,0.821,duquesne.csv
2025-03-01,2024-2025,George Mason,REG (Conf),W,85.0,68.0,0.676,14.0,17.0,0.667,0.595,19.0,17.0,0.857,duquesne.csv
2025-03-04,2024-2025,VCU,REG (Conf),L,62.0,71.0,0.451,15.0,19.0,0.667,0.491,14.0,22.0,0.81,duquesne.csv
2025-03-08,2024-2025,Saint Louis,REG (Conf),L,88.0,90.0,0.569,11.0,19.0,0.857,0.695,18.0,22.0,0.667,duquesne.csv
2025-03-13,2024-2025,St. Bonaventure,CTOURN,L,59.0,64.0,0.5,18.0,27.0,0.583,0.451,7.0,19.0,0.818,duquesne.csv
2023-11-06,2023-2024,King (TN),REG (Non-Conf),W,73.0,56.0,0.419,12.0,31.0,0.696,0.316,21.0,32.0,0.65,east-tennessee-state.csv
