Date,Season,Opp,Type,Rslt,Tm,Opp_score,eFG%,TOV%,DRB%,FT%,Opp_eFG%,Opp_TOV%,Opp_DRB%,Opp_FT%,Source_File
2024-11-04,2024-2025,Canisius,REG (Non-Conf),W,93.0,64.0,0.544,9.0,25.0,0.704,0.529,19.0,18.0,0.769,arizona.csv
2024-11-09,2024-2025,Old Dominion,REG (Non-Conf),W,102.0,44.0,0.56,8.0,30.0,0.621,0.333,18.0,18.0,0.353,arizona.csv
2024-11-15,2024-2025,Wisconsin,REG (Non-Conf),L,88.0,103.0,0.405,13.0,27.0,0.7,0.596,9.0,24.0,0.872,arizona.csv
2024-11-22,2024-2025,Duke,REG (Non-Conf),L,55.0,69.0,0.453,15.0,24.0,0.636,0.5,13.0,27.0,0.615,arizona.csv
2024-11-27,2024-2025,Davidson,REG (Non-Conf),W,104.0,71.0,0.645,14.0,34.0,0.75,0.458,11.0,20.0,0.75,arizona.csv
2024-11-28,2024-2025,Oklahoma,REG (Non-Conf),L,77.0,82.0,0.469,9.0,16.0,0.842,0.534,15.0,20.0,0.952,arizona.csv
2024-11-29,2024-2025,West Virginia,REG (Non-Conf),L,76.0,83.0,0.508,14.0,27.0,0.846,0.485,7.0,20.0,0.773,arizona.csv
2024-12-07,2024-2025,Southern Utah,REG (Non-Conf),W,102.0,66.0,0.544,9.0,29.0,0.778,0.453,17.0,19.0,0.533,arizona.csv
2024-12-14,2024-2025,UCLA,REG (Non-Conf),L,54.0,57.0,0.476,22.0,21.0,0.737,0.49,14.0,14.0,0.438,arizona.csv
2024-12-18,2024-2025,Samford,REG (Non-Conf),W,96.0,64.0,0.645,14.0,29.0,0.806,0.467,12.0,12.0,0.533,arizona.csv
2024-12-21,2024-2025,Central Michigan,REG (Non-Conf),W,94.0,41.0,0.621,10.0,32.0,0.923,0.287,15.0,17.0,0.556,arizona.csv
2024-12-30,2024-2025,TCU,REG (Conf),W,90.0,81.0,0.629,7.0,20.0,0.81,0.532,8.0,15.0,0.778,arizona.csv
2025-01-04,2024-2025,Cincinnati,REG (Conf),W,72.0,67.0,0.481,11.0,25.0,0.778,0.43,11.0,21.0,0.522,arizona.csv
2025-01-07,2024-2025,West Virginia,REG (Conf),W,75.0,56.0,0.566,8.0,27.0,0.6,0.431,10.0,21.0,0.75,arizona.csv
2025-01-11,2024-2025,UCF,REG (Conf),W,88.0,80.0,0.542,13.0,29.0,0.793,0.436,9.0,20.0,0.706,arizona.csv
2025-01-14,2024-2025,Baylor,REG (Conf),W,81.0,70.0,0.602,10.0,22.0,0.64,0.536,12.0,21.0,0.769,arizona.csv
2025-01-18,2024-2025,Texas Tech,REG (Conf),L,54.0,70.0,0.336,7.0,25.0,0.789,0.409,8.0,30.0,0.889,arizona.csv
2025-01-21,2024-2025,Oklahoma State,REG (Conf),W,92.0,78.0,0.649,8.0,24.0,0.783,0.556,12.0,15.0,0.75,arizona.csv
2025-01-25,2024-2025,Colorado,REG (Conf),W,78.0,63.0,0.539,10.0,24.0,0.818,0.509,14.0,20.0,0.75,arizona.csv
2025-01-27,2024-2025,Iowa State,REG (Conf),W,86.0,75.0,0.515,15.0,26.0,0.818,0.485,17.0,24.0,0.667,arizona.csv
2025-02-01,2024-2025,Arizona State,REG (Conf),W,81.0,72.0,0.429,13.0,31.0,0.955,0.456,11.0,23.0,0.714,arizona.csv
2025-02-04,2024-2025,Brigham Young,REG (Conf),W,85.0,74.0,0.556,12.0,27.0,0.882,0.493,10.0,20.0,0.571,arizona.csv
2025-02-08,2024-2025,Texas Tech,REG (Conf),W,82.0,73.0,0.552,14.0,29.0,0.783,0.457,9.0,17.0,0.9,arizona.csv
2025-02-11,2024-2025,Kansas State,REG (Conf),L,70.0,73.0,0.429,17.0,32.0,0.842,0.46,9.0,24.0,0.615,arizona.csv
2025-02-15,2024-2025,Houston,REG (Conf),L,58.0,62.0,0.417,10.0,25.0,0.765,0.474,6.0,21.0,0.778,arizona.csv
2025-02-17,2024-2025,Baylor,REG (Conf),W,74.0,67.0,0.517,13.0,26.0,0.778,0.445,11.0,20.0,0.72,arizona.csv
2025-02-22,2024-2025,Brigham Young,REG (Conf),L,95.0,96.0,0.627,14.0,19.0,0.84,0.662,9.0,12.0,0.714,arizona.csv
2025-02-26,2024-2025,Utah,REG (Conf),W,83.0,66.0,0.484,7.0,27.0,0.759,0.395,12.0,25.0,0.773,arizona.csv
2025-03-01,2024-2025,Iowa State,REG (Conf),L,67.0,84.0,0.368,14.0,19.0,0.926,0.602,15.0,19.0,0.826,arizona.csv
2025-03-04,2024-2025,Arizona State,REG (Conf),W,113.0,100.0,0.672,5.0,26.0,0.795,0.552,2.0,16.0,0.839,arizona.csv
