Date,Season,Opp,eFG%,TOV%,ORB%,FT%,Opp_eFG%,Opp_TOV%,Opp_ORB%,Opp_FT%,Source_File
2023-11-06,2023-2024,Morgan State,0.632,0.07210548001648126,0.5405405405405406,0.34210526315789475,0.455,0.2853881278538813,0.18181818181818182,0.14285714285714285,arizona.csv
2023-11-10,2023-2024,Duke,0.508,0.18905693950177935,0.35294117647058826,0.18461538461538463,0.492,0.13533464566929135,0.14705882352941177,0.13846153846153847,arizona.csv
2023-11-13,2023-2024,Southern,0.595,0.23750516315572076,0.43333333333333335,0.4827586206896552,0.365,0.1640112464854733,0.15,0.20634920634920634,arizona.csv
2023-11-17,2023-2024,Belmont,0.603,0.14912654452492544,0.48484848484848486,0.2647058823529412,0.475,0.16973811833171676,0.1111111111111111,0.16393442622950818,arizona.csv
2023-11-19,2023-2024,UT Arlington,0.596,0.12141280353200884,0.3448275862068966,0.1917808219178082,0.418,0.2135738016136687,0.13513513513513514,0.08196721311475409,arizona.csv
2023-11-23,2023-2024,Michigan State,0.5,0.12853470437017994,0.28125,0.2542372881355932,0.445,0.11369378473976756,0.2903225806451613,0.171875,arizona.csv
2023-12-02,2023-2024,Colgate,0.514,0.13392857142857142,0.35135135135135137,0.1267605633802817,0.481,0.2429805615550756,0.0,0.07547169811320754,arizona.csv
2023-12-09,2023-2024,Wisconsin,0.683,0.08924018357980622,0.18181818181818182,0.26666666666666666,0.486,0.09813542688910697,0.15384615384615385,0.07142857142857142,arizona.csv
2023-12-16,2023-2024,Purdue,0.565,0.1584592881521209,0.2,0.22580645161290322,0.615,0.14058106841611998,0.34375,0.18461538461538463,arizona.csv
2023-12-20,2023-2024,Alabama,0.462,0.14693534844668346,0.3888888888888889,0.4153846153846154,0.4,0.1819349315068493,0.3023255813953488,0.3384615384615385,arizona.csv
2023-12-23,2023-2024,Florida Atlantic,0.429,0.11066027296200664,0.4583333333333333,0.25882352941176473,0.556,0.1652892561983471,0.17647058823529413,0.2222222222222222,arizona.csv
2023-12-29,2023-2024,California,0.644,0.1669634906500445,0.26666666666666666,0.4067796610169492,0.478,0.130605137135394,0.175,0.23529411764705882,arizona.csv
2023-12-31,2023-2024,Stanford,0.486,0.09132420091324202,0.2972972972972973,0.1506849315068493,0.71,0.14970059880239522,0.19230769230769232,0.1935483870967742,arizona.csv
2024-01-04,2023-2024,Colorado,0.641,0.1273148148148148,0.4375,0.08450704225352113,0.4,0.21220159151193632,0.12121212121212122,0.10909090909090909,arizona.csv
2024-01-06,2023-2024,Utah,0.683,0.20247737017627443,0.3076923076923077,0.09523809523809523,0.485,0.1325940212150434,0.13513513513513514,0.10294117647058823,arizona.csv
2024-01-13,2023-2024,Washington State,0.396,0.10960105217010084,0.40425531914893614,0.18055555555555555,0.5,0.12122844827586207,0.23333333333333334,0.30357142857142855,arizona.csv
2024-01-17,2023-2024,Southern California,0.471,0.14668901927912825,0.4,0.22857142857142856,0.492,0.22629823725583612,0.2571428571428571,0.11475409836065574,arizona.csv
2024-01-20,2023-2024,UCLA,0.481,0.13027618551328815,0.4074074074074074,0.46296296296296297,0.527,0.15035538545653362,0.3,0.21428571428571427,arizona.csv
2024-01-25,2023-2024,Oregon State,0.557,0.1525940996948118,0.35714285714285715,0.39622641509433965,0.688,0.18166573504751257,0.16666666666666666,0.3541666666666667,arizona.csv
2024-01-27,2023-2024,Oregon,0.579,0.11556240369799692,0.3333333333333333,0.3684210526315789,0.509,0.1695736434108527,0.2903225806451613,0.3275862068965517,arizona.csv
2024-02-01,2023-2024,California,0.562,0.13303769401330376,0.3939393939393939,0.27692307692307694,0.421,0.13959981386691486,0.15,0.08571428571428572,arizona.csv
2024-02-04,2023-2024,Stanford,0.523,0.1413094677343382,0.4,0.2153846153846154,0.485,0.1347378735913768,0.2777777777777778,0.07352941176470588,arizona.csv
2024-02-08,2023-2024,Utah,0.488,0.06725595695618755,0.3,0.2891566265060241,0.5,0.10069571585499817,0.3137254901960784,0.11235955056179775,arizona.csv
2024-02-10,2023-2024,Colorado,0.603,0.09385265133740028,0.3,0.25,0.528,0.19646365422396858,0.23076923076923078,0.4074074074074074,arizona.csv
2024-02-17,2023-2024,Arizona State,0.635,0.06091617933723197,0.3103448275862069,0.3968253968253968,0.414,0.13980681240467716,0.125,0.20689655172413793,arizona.csv
2024-02-22,2023-2024,Washington State,0.491,0.1140973630831643,0.2777777777777778,0.29310344827586204,0.468,0.09930486593843098,0.2571428571428571,0.3064516129032258,arizona.csv
2024-02-24,2023-2024,Washington,0.536,0.15015015015015015,0.4,0.22857142857142856,0.441,0.1186367558239862,0.1956521739130435,0.10526315789473684,arizona.csv
2024-02-28,2023-2024,Arizona State,0.61,0.14117043121149897,0.28,0.22033898305084745,0.408,0.08974358974358974,0.2564102564102564,0.3,arizona.csv
2024-03-02,2023-2024,Oregon,0.719,0.12141816415735794,0.34615384615384615,0.171875,0.567,0.14464802314368372,0.3225806451612903,0.1044776119402985,arizona.csv
2024-03-07,2023-2024,UCLA,0.602,0.11811023622047244,0.24,0.42592592592592593,0.441,0.11854583772391991,0.12121212121212122,0.22033898305084745,arizona.csv
2024-03-09,2023-2024,Southern California,0.435,0.19758251975825197,0.3235294117647059,0.1774193548387097,0.544,0.13347570742124934,0.15384615384615385,0.2807017543859649,arizona.csv
2024-03-14,2023-2024,Southern California,0.518,0.17739483020780536,0.3548387096774194,0.19298245614035087,0.411,0.22474881015335801,0.22857142857142856,0.05357142857142857,arizona.csv
